model,alto_accuracy,tenor_accuracy,bass_accuracy,average_voice_accuracy,exact_atb_accuracy,range_violations,voice_crossings,strong_beat_consonance,repeated_note_ratio,chord_diversity,parallel_fifths_octaves,cadence_score,pitch_class_hist_distance,notes
Lookup baseline,0.2298663777537017,0.24449259660527267,0.21054532322137956,0.22830143252678461,0.09877211989888046,0.0,0.0,0.9791666666666666,0.4523809523809524,0.28125,27.0,0.4,0.46945193363345655,soprano pitch-class plus beat-position lookup
BiGRU model,0.42993860599494405,0.3963524738172626,0.33134705669916936,0.3858793788371253,0.11845431563741422,0.0,0.0,0.9375,0.5238095238095238,0.359375,2.0,0.4,0.8696358066781795,bidirectional GRU with beam search and SATB rule penalties
