model,test_loss,perplexity,range_violations,voice_crossings,strong_beat_consonance,repeated_note_ratio,chord_diversity,parallel_fifths_octaves,cadence_score,pitch_class_hist_distance,notes
Markov baseline,5.322047771968428,204.80284239859438,0.0,0.0,0.9236111111111112,0.5473684210526316,0.65625,2.0,0.7,0.2171501987258774,first-order SATB tuple transitions
GRU + postprocess + rerank,5.8831870555877686,4.352701835487534,0.0,0.0,0.8055555555555556,0.6263157894736842,0.7291666666666666,6.0,1.0,0.365805059218964,best of 30 top-k temperature samples
